channel,month,budget_allocated_aed,actual_spend_aed,budget_variance_aed,budget_variance_pct,impressions,clicks,leads_generated,qualified_leads,crm_leads,crm_converted_customers,cac_aed,cpl_aed,cpql_aed,cpl_aed_crm_cross_check
Google Ads,2025-03,79696.55,82407.43,2710.87999999999,3.4015023235008166,259639,83338,227,54,13,8,10300.92875,363.0283259911894,1526.0635185185183,6339.033076923077
Google Ads,2025-04,108751.63,94567.89,-14183.740000000005,-13.04232405528083,3187852,45932,82,44,8,6,15761.315,1153.2669512195123,2149.2702272727274,11820.98625
Google Ads,2025-05,45765.92,43050.7,-2715.220000000001,-5.93284260427847,4762847,96817,59,59,7,2,21525.35,729.6728813559322,729.6728813559322,6150.099999999999
Google Ads,2025-06,91145.55,75872.07,-15273.479999999996,-16.75724157679667,2575852,97106,309,166,6,3,25290.690000000002,245.54067961165052,457.06066265060247,12645.345000000001
Influencer,2024-01,10006.5,9698.19,-308.3099999999995,-3.081097286763599,484659,39785,490,106,6,4,2424.5475,19.79222448979592,91.49235849056605,1616.365
Influencer,2024-02,39503.09,38415.38,-1087.7099999999991,-2.7534808036535856,1975676,54026,81,43,14,10,3841.5379999999996,474.2639506172839,893.3809302325581,2743.9557142857143
Influencer,2024-03,13651.28,10938.22,-2713.0600000000013,-19.874033790237995,4099198,28028,188,41,6,5,2187.644,58.18202127659574,266.78585365853655,1823.0366666666666
Influencer,2024-04,29302.95,23883.52,-5419.43,-18.49448605003933,1345954,38101,24,24,9,6,3980.5866666666666,995.1466666666666,995.1466666666666,2653.7244444444445
Influencer,2024-05,14830.21,13116.33,-1713.8799999999992,-11.556680586451568,3345701,97526,264,89,8,5,2623.266,49.68306818181818,147.37449438202248,1639.54125
Influencer,2024-06,11068.73,10523.11,-545.619999999999,-4.9293821423053865,3554685,56121,341,120,12,10,1052.3110000000001,30.859560117302056,87.69258333333333,876.9258333333333
Influencer,2024-07,45546.71,38172.59,-7374.120000000003,-16.190236352966007,3523093,91462,310,19,9,7,5453.227142857142,123.13738709677418,2009.0836842105261,4241.398888888889
Influencer,2024-08,23939.98,25319.42,1379.4399999999987,5.76207666004733,2002028,80842,17,6,13,8,3164.9275,1489.3776470588234,4219.903333333333,1947.647692307692
Influencer,2024-09,38492.42,37549.57,-942.8499999999985,-2.4494432929911882,1924962,35985,428,185,4,2,18774.785,87.73264018691589,202.97064864864865,9387.3925
Influencer,2024-10,38026.06,30105.1,-7920.959999999999,-20.83034634668961,2453047,85902,140,140,9,3,10035.033333333333,215.03642857142856,215.03642857142856,3345.011111111111
Influencer,2024-11,42992.68,37941.46,-5051.220000000001,-11.74902332210972,3741303,94265,107,106,7,3,12647.153333333334,354.59308411214954,357.93830188679243,5420.208571428571
Influencer,2024-12,15153.73,13935.9,-1217.83,-8.036503223958722,905240,51798,239,112,14,9,1548.4333333333334,58.3092050209205,124.42767857142857,995.4214285714286
Influencer,2025-01,19680.02,18582.57,-1097.4500000000007,-5.576467910093591,4037592,78473,185,96,8,7,2654.652857142857,100.44632432432432,193.5684375,2322.82125
Influencer,2025-02,14190.84,13322.7,-868.1399999999994,-6.11760825997615,396454,56982,83,83,9,4,3330.675,160.5144578313253,160.5144578313253,1480.3000000000002
Influencer,2025-03,7315.48,7868.33,552.8500000000004,7.557262134542101,1695506,82559,446,137,9,4,1967.0825,17.64199551569507,57.433065693430656,874.2588888888889
Influencer,2025-04,13827.67,14724.95,897.2800000000007,6.489018034130122,1368662,24817,126,126,7,5,2944.9900000000002,116.86468253968255,116.86468253968255,2103.5642857142857
Influencer,2025-05,19089.89,17167.95,-1921.9399999999987,-10.067842192909433,1604647,89751,211,163,11,7,2452.5642857142857,81.36469194312797,105.32484662576688,1560.7227272727273
Influencer,2025-06,23650.13,18780.8,-4869.330000000002,-20.58902001807179,99955,63496,168,36,7,7,2682.9714285714285,111.79047619047618,521.6888888888889,2682.9714285714285
Meta Ads,2024-01,124662.84,96172.67,-28490.17,-22.853779041132064,1553093,37212,372,71,12,5,19234.534,258.5286827956989,1354.544647887324,8014.389166666667
Meta Ads,2024-02,34827.94,38113.65,3285.709999999999,9.434120995958988,2029583,81897,111,111,7,4,9528.4125,343.36621621621623,343.36621621621623,5444.807142857143
Meta Ads,2024-03,86853.66,75509.2,-11344.460000000006,-13.061579673211247,2295766,49823,459,117,11,9,8389.91111111111,164.50806100217864,645.3777777777777,6864.472727272727
Meta Ads,2024-04,85494.52,83343.91,-2150.6100000000006,-2.5154945603531083,4848884,21502,216,79,8,7,11906.272857142858,385.8514351851852,1054.9862025316456,10417.98875
Meta Ads,2024-05,29957.14,25418.13,-4539.009999999998,-15.151680033541249,973499,53818,319,164,19,17,1495.1841176470589,79.68065830721004,154.98859756097562,1337.7963157894737
Meta Ads,2024-06,40110.82,32974.05,-7136.769999999997,-17.792630517152222,4931663,91499,215,50,12,7,4710.578571428572,153.36767441860465,659.4810000000001,2747.8375
Meta Ads,2024-07,66184.4,52598.04,-13586.359999999993,-20.528039840204027,154052,44472,273,38,7,6,8766.34,192.6668131868132,1384.158947368421,7514.005714285714
Meta Ads,2024-08,92228.8,88279.65,-3949.1500000000087,-4.281905435178609,484520,86476,112,112,8,5,17655.93,788.2111607142857,788.2111607142857,11034.95625
Meta Ads,2024-09,45336.71,44100.73,-1235.979999999996,-2.726223407035923,133985,52744,55,50,11,6,7350.121666666667,801.8314545454546,882.0146000000001,4009.157272727273
Meta Ads,2024-10,40745.62,42665.05,1919.4300000000003,4.710764003591061,3412025,84281,67,67,12,9,4740.561111111111,636.7917910447761,636.7917910447761,3555.4208333333336
Meta Ads,2024-11,86216.21,93143.43,6927.219999999987,8.03470716237699,1437788,42874,378,49,4,2,46571.715,246.41119047619046,1900.886326530612,23285.8575
Meta Ads,2024-12,96115.98,92650.89,-3465.0899999999965,-3.6051133224672904,3485987,52444,212,66,7,4,23162.7225,437.03249999999997,1403.8013636363637,13235.841428571428
Meta Ads,2025-01,96164.84,98147.04,1982.199999999997,2.0612523246542054,95645,14228,104,58,9,4,24536.76,943.7215384615384,1692.1903448275862,10905.226666666666
Meta Ads,2025-02,38658.62,30083.21,-8575.410000000003,-22.182400716838842,4701358,40911,41,41,10,8,3760.40125,733.7368292682927,733.7368292682927,3008.321
Meta Ads,2025-03,91019.95,97024.7,6004.75,6.5971800687651445,548689,54327,336,128,14,12,8085.391666666666,288.76398809523806,758.00546875,6930.335714285714
Meta Ads,2025-04,102285.15,81399.51,-20885.64,-20.41903443461734,3170934,65729,232,183,5,3,27133.17,350.8599568965517,444.80606557377047,16279.901999999998
Meta Ads,2025-05,71721.73,66151.1,-5570.62999999999,-7.767004504771413,144014,54478,310,92,12,5,13230.220000000001,213.39064516129034,719.033695652174,5512.591666666667
Meta Ads,2025-06,71828.78,70218.45,-1610.3300000000017,-2.241900809118576,3037873,32300,60,32,13,8,8777.30625,1170.3075,2194.3265625,5401.41923076923
Offline Event,2024-01,3272.85,3179.25,-93.59999999999991,-2.8598927540217214,4403983,25956,46,46,13,8,397.40625,69.11413043478261,69.11413043478261,244.55769230769232
Offline Event,2024-02,13635.76,11457.76,-2178.0,-15.972707058499122,1391357,26680,300,24,13,9,1273.0844444444444,38.19253333333334,477.4066666666667,881.3661538461539
Offline Event,2024-03,16214.72,13235.83,-2978.8899999999994,-18.371516745278363,1213691,4712,12,12,10,7,1890.8328571428572,1102.9858333333334,1102.9858333333334,1323.583
Offline Event,2024-04,9608.47,7417.84,-2190.629999999999,-22.79894717889528,985442,82433,90,90,9,3,2472.6133333333332,82.42044444444444,82.42044444444444,824.2044444444444
Offline Event,2024-05,11306.42,11803.6,497.1800000000003,4.397324705786627,4443359,66326,181,58,9,7,1686.2285714285715,65.21325966850829,203.5103448275862,1311.5111111111112
Offline Event,2024-06,4649.3,3905.01,-744.29,-16.008646462908395,4163608,68512,46,46,10,7,557.8585714285715,84.89152173913044,84.89152173913044,390.50100000000003
Offline Event,2024-07,12035.31,10836.8,-1198.5100000000002,-9.958281091222414,127146,75595,231,188,12,11,985.1636363636363,46.91255411255411,57.642553191489355,903.0666666666666
Offline Event,2024-08,11189.15,9521.92,-1667.2299999999996,-14.900416921750084,2159991,85280,36,36,6,4,2380.48,264.4977777777778,264.4977777777778,1586.9866666666667
Offline Event,2024-09,12864.72,11666.24,-1198.4799999999996,-9.316020869478695,1564074,85221,139,46,4,3,3888.7466666666664,83.92978417266187,253.61391304347825,2916.56
Offline Event,2024-10,18822.08,14794.67,-4027.4100000000017,-21.397263214267507,4185218,98214,170,71,15,10,1479.467,87.02747058823529,208.3756338028169,986.3113333333333
Offline Event,2024-11,8968.46,8873.32,-95.13999999999942,-1.0608287264480127,4448166,12616,135,110,13,7,1267.6171428571429,65.72829629629629,80.66654545454546,682.5630769230769
Offline Event,2024-12,12441.25,10373.83,-2067.42,-16.617462071737165,2966420,40400,231,159,11,5,2074.766,44.90835497835498,65.24421383647798,943.0754545454546
Offline Event,2025-01,9299.09,9966.19,667.1000000000004,7.1738202340229025,1882309,30376,326,138,14,8,1245.77375,30.571134969325154,72.21876811594203,711.8707142857144
Offline Event,2025-02,12046.59,11254.92,-791.6700000000001,-6.571735237938703,554048,35097,31,31,10,7,1607.8457142857144,363.06193548387097,363.06193548387097,1125.492
Offline Event,2025-03,11307.2,8945.01,-2362.1900000000005,-20.89102518749116,3880063,83251,53,53,10,5,1789.002,168.77377358490565,168.77377358490565,894.501
Offline Event,2025-04,7662.85,6704.45,-958.4000000000005,-12.507095923840353,4319300,78712,12,12,10,7,957.7785714285714,558.7041666666667,558.7041666666667,670.4449999999999
Offline Event,2025-05,8153.56,6958.5,-1195.0600000000004,-14.656910601013548,437974,45699,480,176,8,6,1159.75,14.496875,39.53693181818182,869.8125
Offline Event,2025-06,6649.91,5934.58,-715.3299999999999,-10.756987688555181,1607758,10274,26,26,8,5,1186.916,228.25307692307692,228.25307692307692,741.8225
Push Notification,2024-01,8521.09,7790.55,-730.54,-8.573316324554723,1312776,55605,271,113,5,3,2596.85,28.74741697416974,68.9429203539823,1558.1100000000001
Push Notification,2024-02,4336.78,4594.99,258.21000000000004,5.953956622194348,4617928,40802,194,134,12,9,510.5544444444444,23.685515463917525,34.29097014925373,382.9158333333333
Push Notification,2024-03,4919.91,5216.62,296.71000000000004,6.030801376447944,3842434,91201,492,111,6,3,1738.8733333333332,10.60288617886179,46.99657657657657,869.4366666666666
Push Notification,2024-04,11996.87,12511.22,514.3499999999985,4.287368288561921,4666328,57576,107,52,11,7,1787.3171428571427,116.92728971962616,240.6003846153846,1137.3836363636362
Push Notification,2024-05,14810.85,14858.24,47.38999999999942,0.319968131471181,2579022,67909,224,122,6,5,2971.648,66.33142857142857,121.7888524590164,2476.3733333333334
Push Notification,2024-06,11599.73,10695.21,-904.5200000000004,-7.797767706662142,963379,10669,173,37,9,2,5347.605,61.822023121387275,289.0597297297297,1188.3566666666666
Push Notification,2024-07,3850.64,3496.69,-353.9499999999998,-9.191978476305234,4313752,30836,137,80,4,3,1165.5633333333333,25.523284671532846,43.708625,874.1725
Push Notification,2024-08,8385.94,7923.86,-462.08000000000084,-5.5101753649561145,940072,57697,47,47,6,5,1584.772,168.5927659574468,168.5927659574468,1320.6433333333332
Push Notification,2024-09,6289.89,6888.68,598.79,9.519880315871978,2076711,61682,234,26,7,3,2296.226666666667,29.43880341880342,264.9492307692308,984.0971428571429
Push Notification,2024-10,16879.39,13011.59,-3867.7999999999993,-22.914335174434616,2714777,58385,433,179,14,8,1626.44875,30.04986143187067,72.6904469273743,929.3992857142857
Push Notification,2024-11,3497.94,3818.99,321.0499999999997,9.178259203988626,430304,82107,10,10,8,5,763.798,381.899,381.899,477.37375
Push Notification,2024-12,1611.76,1440.75,-171.01,-10.610140467563408,1516950,66582,37,23,3,2,720.375,38.939189189189186,62.641304347826086,480.25
Push Notification,2025-01,10274.98,10870.24,595.2600000000002,5.793295948021313,1464115,46556,465,35,7,5,2174.048,23.376860215053764,310.5782857142857,1552.8914285714286
Push Notification,2025-02,7116.17,6150.36,-965.8100000000004,-13.572047885309097,1285270,56670,72,72,15,8,768.795,85.42166666666667,85.42166666666667,410.024
Push Notification,2025-03,14526.0,14195.84,-330.15999999999985,-2.2728899903621085,350788,90809,282,54,7,4,3548.96,50.33985815602837,262.8859259259259,2027.9771428571428
Push Notification,2025-04,1778.01,1584.41,-193.5999999999999,-10.888577679540605,2217950,15266,273,40,12,9,176.04555555555555,5.803699633699634,39.61025,132.03416666666666
Push Notification,2025-05,3828.35,3247.89,-580.46,-15.162145571852104,973255,75900,400,116,16,8,405.98625,8.119724999999999,27.99905172413793,202.993125
Push Notification,2025-06,12319.28,12646.99,327.7099999999991,2.6601392289159684,3729566,72951,440,173,8,6,2107.8316666666665,28.743159090909092,73.10398843930636,1580.87375
SMS Campaign,2024-01,10303.67,8632.76,-1670.9099999999999,-16.21664901923295,422462,66832,363,152,7,5,1726.5520000000001,23.781707988980717,56.79447368421053,1233.2514285714285
SMS Campaign,2024-02,10633.07,9702.19,-930.8799999999992,-8.75457417284001,2770463,7590,233,55,15,8,1212.77375,41.64030042918455,176.40345454545457,646.8126666666667
SMS Campaign,2024-03,12734.97,9851.61,-2883.3599999999988,-22.64127830689824,175721,9307,125,58,10,5,1970.3220000000001,78.81288,169.8553448275862,985.1610000000001
SMS Campaign,2024-04,4195.45,4060.52,-134.92999999999984,-3.2161031593750335,2163701,56507,194,145,7,5,812.104,20.930515463917526,28.00358620689655,580.0742857142857
SMS Campaign,2024-05,9942.72,8777.1,-1165.619999999999,-11.723351356570426,1085694,77061,261,185,9,6,1462.8500000000001,33.62873563218391,47.443783783783786,975.2333333333333
SMS Campaign,2024-06,2420.84,2421.21,0.36999999999989086,0.015283951025259448,1307095,79701,493,141,11,8,302.65125,4.911176470588235,17.171702127659575,220.11
SMS Campaign,2024-07,7190.18,5875.53,-1314.6500000000005,-18.283965074587847,4258153,2619,161,12,11,7,839.3614285714285,36.4939751552795,489.6275,534.1390909090909
SMS Campaign,2024-08,8277.96,7706.19,-571.7699999999995,-6.90713654088688,4390559,53237,302,31,8,6,1284.365,25.517185430463574,248.58677419354837,963.27375
SMS Campaign,2024-09,3231.73,2744.26,-487.4699999999998,-15.083871486788802,1533800,8879,368,80,13,8,343.0325,7.457228260869566,34.303250000000006,211.0969230769231
SMS Campaign,2024-10,3393.82,3589.63,195.80999999999995,5.769604752167172,238884,21001,31,31,10,5,717.926,115.79451612903226,115.79451612903226,358.963
SMS Campaign,2024-11,6667.69,6608.91,-58.779999999999745,-0.8815646798216435,4455390,4874,31,31,7,4,1652.2275,213.19064516129032,213.19064516129032,944.13
SMS Campaign,2024-12,10349.84,9541.31,-808.5300000000007,-7.812004823262974,1097834,97407,356,187,7,3,3180.4366666666665,26.801432584269662,51.023048128342246,1363.0442857142857
SMS Campaign,2025-01,4102.92,3885.14,-217.7800000000002,-5.307927037329517,222322,54189,153,151,12,8,485.6425,25.393071895424836,25.729403973509932,323.76166666666666
SMS Campaign,2025-02,10376.51,8569.96,-1806.550000000001,-17.409996231873734,165856,4961,211,86,12,8,1071.245,40.61592417061611,99.6506976744186,714.1633333333333
SMS Campaign,2025-03,7066.98,7459.18,392.2000000000007,5.549753926005178,1391294,59543,23,23,10,8,932.3975,324.31217391304347,324.31217391304347,745.918
SMS Campaign,2025-04,6267.53,4912.4,-1355.13,-21.62143619575814,4936268,91915,451,19,12,6,818.7333333333332,10.892239467849222,258.5473684210526,409.3666666666666
SMS Campaign,2025-05,12041.63,12101.01,59.38000000000102,0.4931226088162568,3723975,63116,248,183,8,4,3025.2525,48.794395161290325,66.12573770491804,1512.62625
SMS Campaign,2025-06,11533.23,9641.99,-1891.2399999999998,-16.398181602205106,4753680,31840,271,117,6,2,4820.995,35.57929889298893,82.41017094017094,1606.9983333333332
TikTok Ads,2024-01,40225.11,34175.03,-6050.080000000002,-15.040555513707735,1127608,25822,54,54,5,2,17087.515,632.8709259259259,632.8709259259259,6835.005999999999
TikTok Ads,2024-02,31207.84,24394.14,-6813.700000000001,-21.833295735943278,4992699,96160,294,171,3,3,8131.38,82.97326530612244,142.6557894736842,8131.38
TikTok Ads,2024-03,14942.78,12858.33,-2084.4500000000007,-13.949546202246172,623256,57765,162,87,10,5,2571.666,79.37240740740741,147.79689655172413,1285.833
TikTok Ads,2024-04,24999.4,22266.31,-2733.09,-10.93262238293719,2150896,13027,19,19,12,10,2226.6310000000003,1171.911052631579,1171.911052631579,1855.5258333333334
TikTok Ads,2024-05,23237.15,18152.07,-5085.080000000002,-21.88340652790898,3756885,1092,268,115,14,8,2269.00875,67.73160447761194,157.84408695652175,1296.5764285714286
TikTok Ads,2024-06,19904.58,19551.48,-353.1000000000022,-1.773963580241342,129452,86285,392,198,14,8,2443.935,49.876224489795916,98.74484848484849,1396.5342857142857
TikTok Ads,2024-07,34161.27,29801.74,-4359.529999999995,-12.761615712764765,608904,37294,16,16,11,4,7450.435,1862.60875,1862.60875,2709.249090909091
TikTok Ads,2024-08,59689.15,49001.55,-10687.599999999999,-17.905431724191075,2590464,97273,258,136,7,5,9800.310000000001,189.92848837209303,360.3055147058824,7000.221428571429
TikTok Ads,2024-09,54570.37,44479.99,-10090.380000000005,-18.49058380949223,2859922,19269,41,41,7,4,11119.9975,1084.8778048780487,1084.8778048780487,6354.284285714285
TikTok Ads,2024-10,24012.54,20091.54,-3921.0,-16.32896811416035,3799662,30903,253,197,6,6,3348.59,79.41320158102768,101.98751269035533,3348.59
TikTok Ads,2024-11,12943.67,13885.81,942.1399999999994,7.2787702405886385,1049258,97544,474,182,6,5,2777.162,29.29495780590717,76.29565934065934,2314.3016666666667
TikTok Ads,2024-12,21088.96,17930.27,-3158.6899999999987,-14.977931581263364,4686642,1733,93,89,10,8,2241.28375,192.79860215053765,201.46370786516854,1793.027
TikTok Ads,2025-01,49725.0,40398.91,-9326.089999999997,-18.755334338863744,4808096,48140,330,106,9,5,8079.782000000001,122.4209393939394,381.1217924528302,4488.767777777778
TikTok Ads,2025-02,46102.8,37094.16,-9008.64,-19.54033160675707,4103887,89967,107,107,17,16,2318.385,346.67439252336453,346.67439252336453,2182.009411764706
TikTok Ads,2025-03,36752.48,34439.68,-2312.800000000003,-6.292908669020438,1469887,2030,358,119,11,9,3826.6311111111113,96.20022346368715,289.4090756302521,3130.88
TikTok Ads,2025-04,44896.93,43568.2,-1328.7300000000032,-2.9595119309939526,393861,97224,247,76,11,4,10892.05,176.38947368421051,573.2657894736842,3960.7454545454543
TikTok Ads,2025-05,40535.47,38382.48,-2152.989999999998,-5.311372977789571,2772753,10552,162,106,8,5,7676.496000000001,236.9288888888889,362.09886792452835,4797.81
TikTok Ads,2025-06,10722.05,11147.53,425.4800000000014,3.968270992953786,4962515,1186,115,107,9,5,2229.5060000000003,96.93504347826088,104.18252336448599,1238.6144444444444
WhatsApp Campaign,2024-01,4609.51,5117.04,507.52999999999975,11.010497862028714,2213793,26383,453,72,10,5,1023.408,11.2958940397351,71.07,511.704
WhatsApp Campaign,2024-02,14171.6,11265.08,-2906.5200000000004,-20.50946964351238,1864574,99096,459,49,4,4,2816.27,24.542657952069717,229.8995918367347,2816.27
WhatsApp Campaign,2024-03,6116.62,5101.59,-1015.0299999999997,-16.594622520280804,3278641,77375,162,103,5,2,2550.795,31.491296296296298,49.53,1020.318
WhatsApp Campaign,2024-04,12861.66,10276.78,-2584.879999999999,-20.097561279026184,3754053,39118,339,192,8,4,2569.195,30.314985250737465,53.52489583333334,1284.5975
WhatsApp Campaign,2024-05,5220.37,4955.62,-264.75,-5.071479607767266,4228801,13332,439,70,11,7,707.9457142857143,11.288428246013668,70.79457142857143,450.5109090909091
WhatsApp Campaign,2024-06,6969.72,6828.16,-141.5600000000004,-2.0310715495027116,1158952,82165,354,51,14,10,682.816,19.28858757062147,133.88549019607842,487.7257142857143
WhatsApp Campaign,2024-07,1306.94,1250.1,-56.840000000000146,-4.34909024132708,1570429,49586,480,43,5,3,416.7,2.6043749999999997,29.07209302325581,250.01999999999998
WhatsApp Campaign,2024-08,3397.01,2711.58,-685.4300000000003,-20.177450169413696,86452,55065,486,169,10,9,301.28666666666663,5.579382716049382,16.044852071005916,271.158
WhatsApp Campaign,2024-09,9603.25,8037.64,-1565.6099999999997,-16.302918282872984,2721561,11957,148,91,5,2,4018.82,54.30837837837838,88.32571428571428,1607.528
WhatsApp Campaign,2024-10,3982.6,3376.11,-606.4899999999998,-15.22849394867674,1137137,85247,379,133,6,4,844.0275,8.907941952506597,25.384285714285717,562.6850000000001
WhatsApp Campaign,2024-11,3978.41,3760.74,-217.67000000000007,-5.471281240495577,2820787,24533,218,138,6,4,940.185,17.25110091743119,27.251739130434782,626.79
WhatsApp Campaign,2024-12,12171.97,11887.0,-284.96999999999935,-2.3411986720308984,3385257,34893,212,10,4,3,3962.3333333333335,56.070754716981135,1188.7,2971.75
WhatsApp Campaign,2025-01,6213.26,6503.86,290.59999999999945,4.6770938283606265,1054022,74585,257,115,9,7,929.1228571428571,25.306848249027237,56.55530434782609,722.651111111111
WhatsApp Campaign,2025-02,2755.4,2572.33,-183.07000000000016,-6.64404442186253,140535,95037,123,29,11,9,285.81444444444446,20.913252032520326,88.70103448275862,233.8481818181818
WhatsApp Campaign,2025-03,4624.99,4269.62,-355.3699999999999,-7.683692289064408,978976,94673,336,90,8,4,1067.405,12.707202380952381,47.44022222222222,533.7025
WhatsApp Campaign,2025-04,7111.46,5781.58,-1329.88,-18.70052000573722,1058328,58936,327,58,6,0,,17.680672782874616,99.68241379310345,963.5966666666667
WhatsApp Campaign,2025-05,2532.84,2709.97,177.12999999999965,6.99333554429019,287143,98184,202,36,11,8,338.74625,13.41569306930693,75.27694444444444,246.36090909090908
WhatsApp Campaign,2025-06,17101.45,13166.74,-3934.710000000001,-23.008049025082673,2103212,16648,461,140,10,4,3291.685,28.561258134490238,94.04814285714285,1316.674
